Algorithm,Avg Waiting Time,Avg Turnaround Time,Num Customers,Arrival Time Mean,Burst Time Mean
🎬 First-Come-First-Serve (FCFS),0.0,4.942846430230848,1,9.760207682836398,5.509717539071918
🔍 Shortest Job Next (SJF),0.0,3.5176914389808682,1,9.760207682836398,5.509717539071918
🔍 Shortest Remaining Time First (SRTF),0.0,6.565997994384752,1,9.760207682836398,5.509717539071918
🎬 First-Come-First-Serve (FCFS),6.1146729611653505,16.21428954426461,3,9.72456188754995,13.159810663751664
🔍 Shortest Job Next (SJF),16.708933689353618,29.24093951903195,3,9.72456188754995,13.159810663751664
🔍 Shortest Remaining Time First (SRTF),9.296399243287036,13.962505337662597,3,9.72456188754995,13.159810663751664
🎬 First-Come-First-Serve (FCFS),2.4794158948888816,16.866225595042575,2,6.324754618539959,12.98513578408514
🔍 Shortest Job Next (SJF),6.524546547434512,18.650614250572154,2,6.324754618539959,12.98513578408514
🔍 Shortest Remaining Time First (SRTF),3.6001805241606366,12.809407166096827,2,6.324754618539959,12.98513578408514
🎬 First-Come-First-Serve (FCFS),0.0,3.774000574953778,1,12.072511504230473,5.995637341491491
🔍 Shortest Job Next (SJF),0.0,5.044065979151046,1,12.072511504230473,5.995637341491491
🔍 Shortest Remaining Time First (SRTF),0.0,8.78698578507571,1,12.072511504230473,5.995637341491491
🎬 First-Come-First-Serve (FCFS),0.0,18.256905553247744,1,7.5843762996731545,13.258695086482668
🔍 Shortest Job Next (SJF),0.0,15.923133296313779,1,7.5843762996731545,13.258695086482668
🔍 Shortest Remaining Time First (SRTF),0.0,15.943501736047267,1,7.5843762996731545,13.258695086482668
🎬 First-Come-First-Serve (FCFS),5.361795282043473,15.830474671649046,2,10.39168857674362,12.333324926025359
🔍 Shortest Job Next (SJF),2.317356579217469,13.552085409506308,2,10.39168857674362,12.333324926025359
🔍 Shortest Remaining Time First (SRTF),0.3113950721195726,8.792665180406766,2,10.39168857674362,12.333324926025359
🎬 First-Come-First-Serve (FCFS),0.0,12.546955564783069,1,11.481167579377033,9.83689034359376
🔍 Shortest Job Next (SJF),0.0,12.043227434811673,1,11.481167579377033,9.83689034359376
🔍 Shortest Remaining Time First (SRTF),0.0,10.183438098273445,1,11.481167579377033,9.83689034359376
🎬 First-Come-First-Serve (FCFS),1.5664221665018812,9.299549985845982,3,12.839853517885565,7.699726855376196
🔍 Shortest Job Next (SJF),4.197571292917508,13.242221078742455,3,12.839853517885565,7.699726855376196
🔍 Shortest Remaining Time First (SRTF),7.225204755665814,10.590460397174503,3,12.839853517885565,7.699726855376196
